;Arpes occ;Arpes tot
-14.68125;4.78574327280565E-07;8.62641560351704E-07
-14.67890625;4.75752269892703E-07;8.55874052762999E-07
-14.6765625;4.72816111722734E-07;8.48916538478525E-07
-14.67421875;4.69767406519056E-07;8.41772711544957E-07
-14.671875;4.66607761644457E-07;8.34446359001719E-07
-14.66953125;4.63338848423802E-07;8.26941370332633E-07
-14.6671875;4.59962396337676E-07;8.19261727642857E-07
-14.66484375;4.56480191187768E-07;8.11411506405665E-07
-14.6625;4.52894076844848E-07;8.0339487497457E-07
-14.66015625;4.49205953276726E-07;7.95216088673555E-07
-14.6578125;4.45417776050203E-07;7.86879491429564E-07
